Country,ISO2,ISO3,Indicator,Variable,Unit,Model,Scenarios,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Low Demand,,,,,2.2551,28.0989,143.9179,303.629,461.5619,550.073,615.0875
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),,,,,2.2551,28.0989,136.5534,289.2583,450.7993,527.8435,548.4697
United States,US,USA,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,REMIND-MAgPIE,Net Zero 2050,,,,,2.2551,28.0991,231.6033,519.6871,724.7055,748.8147,735.9288
United States,US,USA,Primary energy,Biomass,EJ/yr,GCAM,Below 2°C,,,,,5.5536,5.52,8.3202,10.9535,13.2544,15.4185,16.8826
United States,US,USA,Primary energy,Biomass,EJ/yr,GCAM,Current Policies,,,,,5.566,5.5823,6.3431,7.017,7.9081,9.6242,11.6424
United States,US,USA,Primary energy,Biomass,EJ/yr,GCAM,Delayed transition,,,,,5.5661,5.5813,6.3373,9.0155,14.0104,17.6303,19.7288
United States,US,USA,Primary energy,Biomass,EJ/yr,GCAM,Fragmented World,,,,,5.5621,5.5765,6.3338,8.366,11.9778,17.1681,21.262
United States,US,USA,Primary energy,Biomass,EJ/yr,GCAM,Low Demand,,,,,5.5457,5.3178,5.6237,8.5992,11.5796,12.9583,19.3527
United States,US,USA,Primary energy,Biomass,EJ/yr,GCAM,Nationally Determined Contributions (NDCs),,,,,5.5638,5.5118,10.2381,11.5286,12.9416,15.2082,17.689
United States,US,USA,Primary energy,Biomass,EJ/yr,GCAM,Net Zero 2050,,,,,5.549,5.591,10.064,13.1403,14.8677,14.2038,18.372
United States,US,USA,Primary energy,Biomass,EJ/yr,MESSAGEix-GLOBIOM,Below 2°C,,,,,6.4109,6.4227,7.4478,6.539,6.3799,5.6888,4.9719
United States,US,USA,Primary energy,Biomass,EJ/yr,MESSAGEix-GLOBIOM,Current Policies,,,,,6.4376,6.5199,7.7067,6.6532,6.7323,5.6861,5.1577
United States,US,USA,Primary energy,Biomass,EJ/yr,MESSAGEix-GLOBIOM,Delayed transition,,,,,6.4388,6.522,7.7126,6.6268,6.4139,5.7622,5.3581
United States,US,USA,Primary energy,Biomass,EJ/yr,MESSAGEix-GLOBIOM,Fragmented World,,,,,5.3209,5.5608,6.8161,5.8851,5.4402,5.1668,4.8503
