RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31
753875,176,"Crestview, FL",msa,FL,,,,,12.0,28.0,36.0,35.0,38.0,37.0,37.0,35.0,37.0,34.0,35.0,35.0,38.0,38.0,38.0,35.0,35.0,37.0,37.0,38.0,39.0,35.0,36.0,39.0,38.0,41.0,38.0,37.0,40.0,43.0,42.0,39.0,37.0,34.0,35.0,37.0,,,37.0,38.0,39.0,38.0,37.0,37.0,39.0,36.0,36.0,36.0,34.0,36.0,34.0,35.0,34.0,33.0,33.0,33.0,35.0,31.0,33.0,34.0,34.0,33.0,35.0,33.0,34.0,33.0,33.0,32.0
394851,177,"Merced, CA",msa,CA,39.0,32.0,35.0,34.0,36.0,39.0,33.0,35.0,33.0,36.0,40.0,36.0,39.0,33.0,35.0,35.0,35.0,38.0,37.0,39.0,40.0,35.0,35.0,37.0,41.0,35.0,36.0,39.0,39.0,43.0,38.0,38.0,40.0,41.0,39.0,40.0,39.0,38.0,38.0,35.0,36.0,38.0,35.0,35.0,36.0,36.0,38.0,35.0,36.0,37.0,30.0,31.0,31.0,31.0,30.0,27.0,29.0,30.0,30.0,29.0,37.0,30.0,30.0,29.0,32.0,33.0,35.0,30.0,33.0,33.0,34.0,29.0
395197,178,"Waco, TX",msa,TX,33.0,30.0,31.0,33.0,36.0,34.0,41.0,22.0,25.0,31.0,33.0,31.0,33.0,30.0,30.0,33.0,34.0,37.0,33.0,34.0,35.0,35.0,33.0,33.0,33.0,31.0,33.0,36.0,36.0,36.0,36.0,35.0,36.0,36.0,33.0,37.0,36.0,36.0,39.0,35.0,36.0,37.0,35.0,36.0,36.0,35.0,36.0,37.0,38.0,36.0,33.0,34.0,35.0,34.0,35.0,34.0,32.0,34.0,31.0,33.0,31.0,32.0,30.0,31.0,32.0,33.0,33.0,31.0,31.0,33.0,31.0,32.0
394447,179,"Cedar Rapids, IA",msa,IA,33.0,35.0,38.0,42.0,44.0,44.0,43.0,38.0,40.0,42.0,34.0,33.0,36.0,36.0,36.0,41.0,37.0,40.0,42.0,37.0,41.0,38.0,38.0,39.0,25.0,32.0,37.0,41.0,43.0,42.0,41.0,47.0,46.0,43.0,40.0,37.0,26.0,34.0,39.0,41.0,42.0,44.0,43.0,41.0,40.0,39.0,39.0,37.0,41.0,38.0,37.0,39.0,40.0,43.0,38.0,39.0,39.0,39.0,38.0,34.0,38.0,33.0,34.0,37.0,38.0,39.0,38.0,37.0,38.0,37.0,34.0,33.0
394348,180,"Atlantic City, NJ",msa,NJ,54.0,43.0,35.0,45.0,47.0,48.0,37.0,47.0,50.0,52.0,51.0,54.0,44.0,49.0,44.0,41.0,45.0,51.0,40.0,50.0,44.0,47.0,47.0,49.0,49.0,49.0,40.0,47.0,49.0,41.0,33.0,28.0,40.0,41.0,47.0,42.0,44.0,41.0,28.0,38.0,40.0,44.0,42.0,42.0,41.0,41.0,40.0,38.0,42.0,37.0,37.0,37.0,37.0,40.0,38.0,38.0,41.0,39.0,36.0,35.0,38.0,32.0,34.0,34.0,36.0,38.0,37.0,35.0,36.0,36.0,37.0,36.0
394412,181,"Bremerton, WA",msa,WA,39.0,35.0,36.0,34.0,33.0,35.0,35.0,35.0,37.0,35.0,37.0,35.0,39.0,36.0,35.0,33.0,34.0,36.0,34.0,36.0,37.0,36.0,37.0,38.0,40.0,35.0,33.0,37.0,36.0,36.0,35.0,35.0,35.0,36.0,35.0,36.0,38.0,35.0,32.0,31.0,31.0,31.0,31.0,32.0,32.0,31.0,32.0,32.0,36.0,28.0,29.0,29.0,27.0,30.0,29.0,29.0,31.0,32.0,32.0,31.0,35.0,31.0,29.0,29.0,31.0,30.0,29.0,29.0,29.0,31.0,31.0,34.0
395065,183,"Santa Cruz, CA",msa,CA,37.0,33.0,27.0,31.0,28.0,29.0,31.0,29.0,32.0,30.0,34.0,36.0,35.0,34.0,30.0,31.0,29.0,32.0,33.0,32.0,32.0,34.0,33.0,34.0,37.0,35.0,29.0,35.0,32.0,32.0,31.0,35.0,36.0,34.0,32.0,37.0,30.0,33.0,32.0,31.0,30.0,30.0,31.0,30.0,30.0,32.0,35.0,30.0,33.0,29.0,34.0,28.0,30.0,31.0,31.0,26.0,29.0,26.0,28.0,30.0,32.0,32.0,28.0,28.0,26.0,26.0,26.0,26.0,28.0,28.0,29.0,30.0
394572,184,"Erie, PA",msa,PA,46.0,35.0,37.0,38.0,40.0,44.0,41.0,39.0,34.0,41.0,40.0,39.0,41.0,39.0,40.0,35.0,40.0,42.0,39.0,40.0,40.0,36.0,31.0,38.0,38.0,39.0,38.0,45.0,55.0,44.0,43.0,43.0,45.0,45.0,45.0,46.0,46.0,43.0,43.0,45.0,44.0,46.0,46.0,44.0,44.0,43.0,43.0,42.0,40.0,46.0,40.0,40.0,41.0,43.0,42.0,40.0,39.0,40.0,39.0,38.0,39.0,35.0,37.0,39.0,39.0,40.0,42.0,37.0,40.0,37.0,38.0,36.0
394924,185,"Norwich, CT",msa,CT,14.0,34.0,37.0,45.0,49.0,48.0,51.0,47.0,49.0,45.0,47.0,49.0,49.0,47.0,47.0,45.0,48.0,47.0,50.0,48.0,46.0,48.0,46.0,46.0,49.0,46.0,46.0,48.0,49.0,45.0,46.0,48.0,47.0,49.0,51.0,52.0,41.0,43.0,46.0,48.0,47.0,47.0,49.0,49.0,46.0,46.0,46.0,47.0,47.0,46.0,45.0,43.0,43.0,44.0,44.0,43.0,43.0,44.0,42.0,45.0,46.0,41.0,36.0,40.0,41.0,39.0,40.0,40.0,41.0,40.0,40.0,38.0
394772,187,"Laredo, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,23.0,25.0,29.0,27.0,31.0,23.0,24.0,27.0
395171,188,"Tuscaloosa, AL",msa,AL,36.0,30.0,29.0,33.0,34.0,39.0,35.0,33.0,38.0,31.0,40.0,35.0,36.0,31.0,32.0,31.0,33.0,36.0,33.0,31.0,32.0,32.0,37.0,36.0,34.0,34.0,34.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0,35.0,38.0,38.0,35.0,35.0,37.0,37.0,38.0,37.0,35.0,35.0,37.0,35.0,39.0,33.0,36.0,34.0,35.0,36.0,37.0,34.0,33.0,31.0,31.0,33.0,33.0,33.0,30.0,30.0,32.0,34.0,34.0,32.0,33.0,32.0,31.0,32.0,31.0
